,building_name,sold_price,building_beds,building_baths,redfin_estimates,building_location,property_type,property_size,walking_score,transit_score,bike_score,building_description,building_website
206,111-40 178th St,"373,000",2,1,"512,591","Jamaica,NY",Multi-Family (2-4 Unit),"6,300 ",56.0,66.0,50.0,"""Opportunity Is Knocking! A True Diamond In The Rough. Saint Albans; This 1 Family Semi-Detached, Colonial Features A Full Basement, Porch, Living Room, Eat-In-Kitchen, 2 Bedrooms & A Full Bath. This Property Has A Private Driveway . Conveniently Located Near All Amenities: Public Transportation (Buses: Q85), Schools, Places of Worship, Shopping Areas, And Restaurants Etc. Don't Miss This One!?""",https://www.redfin.com/NY/Jamaica/111-40-178th-St-11433/home/20750594
207,92-13 76th St,"467,786",4,3,"644,473","Woodhaven,NY",Multi-Family (2-4 Unit),"2,000 ",92.0,84.0,60.0,"""GOOD FOR INVESTMENT, SPACIOUS TWO FAMILY HOME, NEAR SHOPPING AND TRANSPORTATION, SOLD IN AS-IS CONDITION, CASH SALE""",https://www.redfin.com/NY/Jamaica/92-13-76th-St-11421/home/20782881
208,1916 Avenue K Unit 1D,,1,1,,"Brooklyn,NY",Condo/Co-op,,81.0,92.0,62.0,"""Prime Midwood Area! Charming, spacious XLarge 850 Sq.Ft 1 bedroom corner apartment located above the lobby in a well-maintained, very clean elevator building. Beautiful, tastefully done custom eat in kitchen w/window and separate dining area, bright and sunny, oversized living room, newly upgraded bathroom w/window, high ceiling, many deep closets, parquet floor throughout and much more extraÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¦ All rooms are separate and conveniently located. This is very unique and rare to find apartment. Very low maintenance $489/m + electric and cooking gas bills. Sublet allowed after 2 years. Building was renovated 5 years ago, has security cameras, garage w/waiting list, great financials. Safe and quiet area. Walking distance to shopping and transportation: B49 Bus, B & Q train lines.  Only serious and qualified buyers!!! Priced to sell!!!""",https://www.redfin.com/NY/Brooklyn/1916-Avenue-K-11230/unit-1D/home/59293129
209,59 Hammock Ln,"430,000",3,2,"465,387","Staten Island,NY",Condo/Co-op,,32.0,43.0,29.0,"""Public Remarks: Huguenot  18 foot wide newly updated 3 bedroom townhouse  with a large loft. Open concept dining room/sunken living room with wifi thermostat +wood burning fireplace . 3 month old 1/2 bath and full bath. Full Bath has jetted tub, and ceramic tiled floor. All Large bedrooms. Master BR has a walk in closest and addl closet. 2 addl bedrooms, and the loft have ceiling fans. Furnace and HW heater approx. 7 years old. Windows were replaced approx 8 years ago. EIK has brand new stainless steel refrigerator, appliances, high hats in first and 2nd floor hall way and living room. Yard is 20x26 great for entertaining  Hardwood floors in living room, pergo floors in formal dining room and loft Close to expressway, and express buses and private park within walking distance.""",https://www.redfin.com/NY/Staten-Island/59-Hammock-Ln-10312/home/56076993
210,2630 Cropsey Ave Unit 2G,,2,1,"343,671","Brooklyn,NY",Condo/Co-op,,74.0,90.0,67.0,"""Most popular complex in Bath Beach Waterview Towers!   2 bed 1 bath unit with huge terrace. Bright and quiet. All separate rooms, big foyer, kitchen with separate dining area. Low maint. that includes all utilities and re taxes ( extra charge for a/c, and dishwasher). Modern complex with playground , community room, upgraded security system and parking ( waiting list) . Close to all: famous CaesarÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¾Ãƒâ€šÃ‚Â¢s Bay, shopping, transportation , etc....  Sorry no pets""",https://www.redfin.com/NY/Brooklyn/2630-Cropsey-Ave-11214/unit-2G/home/169831460
211,1065 67 St Unit 1A,,2,1.75,"622,378","Brooklyn,NY",Condo/Co-op,,93.0,90.0,55.0,"""Dyker spacious 1150 square feet 1st floor and lower level duplex with one parking space included. 1st floor consist of open kitchen equipped with dishwasher, granite coutertop, vented hood, plenty of cabinets, living and dining room, 2 bedrooms and a full bath. Stairs to lower level with good head room, above ground windows, 2 large rooms and a 3/4 bath plus access to boiler room, laundry area and street entrance.""",https://www.redfin.com/NY/Brooklyn/1065-67th-St-11219/unit-1A/home/40924452
212,5304 Church Ave,"960,000",4,3,"967,675","Brooklyn,NY",Multi-Family (2-4 Unit),,89.0,74.0,54.0,"""Great Mixed-Use Building in East Flatbush. The First floor features Store-front with access to a full basement. 2nd floor features two 2 bedroom apartments. Rents are Projected. the building is vacant. Great investment w/Potential 7%  Owner would lease as well""",https://www.redfin.com/NY/Brooklyn/5304-Church-Ave-11203/home/170215405
213,29-10 137 St Unit 2H,"239,000",1,1,"249,610","Flushing,NY",Condo/Co-op,,89.0,82.0,57.0,"""Sunny ONE bedroom Coop unit  Featuring Designer Eat-in-Kitchen, Spacious Living room, Dinning Area., full new renovated kitchen, Hardwood floors thru-out, King Sized Master Bedroom with two closets, Walk In Closet in Hallway., double layer windows; electricity, hot Water and Heat included in low maintenance. Laundry Room on main Floor, This Unit is conveniently located near shopping center , Queens Public Library, major bus line and highways.""",https://www.redfin.com/NY/Flushing/29-10-137th-St-11354/unit-2H/home/21691515
214,84 Nixon Ave,"1,200,000",3,4,"1,185,307","Staten Island,NY",Single Family Residential,"6,075 ",71.0,74.0,44.0,"""Public Remarks: Welcome home to a luxurious mid century modern boasting extraordinary views of the New York Harbor including Manhattan, Brooklyn and the Verrazano Bridge. With pristine finishes and an abundance of natural light, this rare home, is an exemplar of luxury living. Features of this 3,056 sq. ft. home include gorgeous hardwood floors, high ceilings, floor-to-ceiling windows with classic city and ocean views, four private balconies, and a built in swimming pool. On the main level, beyond a tasteful foyer adorned with a large coat closet, the home flows into an expansive, open-concept living room, dining room, and kitchen. Designed for the ultimate experience, the main level features an entire wall of oversized windows overlooking the NYC harbor providing beautiful views and northern and eastern light. The kitchen is equipped with granite countertops, custom cabinetry, a mosaic tile backsplash, high-end appliances, and an eat-in bar. A few steps up via the floating stair case, the master bedroom possesses a private balcony, large walk-in closet, northern and eastern exposure, and an en-suite bathroom with a floating vanity, a walk-in glass shower, and a free-standing soaking tub. The additional 2 bedrooms on the second floor feature a large balcony, large closet space and access to an additional pristine full bathroom. The laundry room is also conveniently located on this level. The expansive lower level also features beautiful views of the harbor, a large deck, the Pool Room, a bathroom and an additional entertainment area.""",https://www.redfin.com/NY/Staten-Island/84-Nixon-Ave-10304/home/56081523
215,31 Billings St,"660,000",3,4,"675,156","Staten Island,NY",Single Family Residential,"2,500 ",34.0,60.0,37.0,"""Public Remarks: Welcome To Your Dream Home!  Why Buy From A Builder When You Can Have A Magnificent Three Bedroom Semi With All Of The Details And None Of The Transfer Taxes. Beautiful Entry Into First Floor living Room/Dining Room Combo. Spacious Eat In Kitchen With Island Seating Leading To A Fully Pavered Yard With In Ground Pool. Second Floor Master Has A 3/4 Bath Ensuite, Two Additional Bedrooms And Another Full Bath. Large Fully Finished basement with separate side entrance and additional 3 \ 4 bath. Custom windows treatments. lighting fixtures and high-end appliances are staying. Walking distance to multiple shopping centers and public transportation.""",https://www.redfin.com/NY/Staten-Island/31-Billings-St-10312/home/59311294
216,175 Zoe St Unit 5m,"249,500",,1,"251,459","Staten Island,NY",Condo/Co-op,,64.0,71.0,66.0,"""Public Remarks: LOOK NO FURTHER, THIS 5TH FLOOR UNIT IS IN GOOD CONDITION. ONE BEDROOM UNIT WITH A TERRACE. CALL FOR A PRIVATE SHOWING TODAY. Limited  to 2 buyers at a time wearing masks, gloves and social distancing of a least 6 feet. Pls send Covid Disclosure/Fair Housing Disclosure to L/A prior to showing. Buyer agent to wipe surfaces before and after showing.""",https://www.redfin.com/NY/Staten-Island/175-Zoe-St-10305/unit-5M/home/56113512
217,63 Mimosa Ln,"467,000",3,3,"502,290","Staten Island,NY",Single Family Residential,"1,620 ",24.0,45.0,33.0,"""Public Remarks: Recently renovated large 3 bedroom townhome. Quiet and serene, this 3 level home has it all. Finished basement, yard, and garage. Great place to call home. New heating system, brand new kitchen, hardwood floors, hvac system and electric garage door. Roof is also New. Meticulously maintained home in the heart of Huguenot. Conveniently located to all transportation and highway. Short distance to country club and golf course.""",https://www.redfin.com/NY/Staten-Island/63-Mimosa-Ln-10312/home/56136821
218,115-18 14th Ave,"1,350,000",6,6,"1,403,774","College Point,NY",Multi-Family (2-4 Unit),,83.0,56.0,50.0,"""Brand New 2 Family, Highest Quality Construction, 4 Levels Including Basement With Separate Entrance, Custom Pella Windows, Ductless Central Air Conditioning, Hardwood Throughout, Convenient to Bus, Shops And Walk to Park.  There is Also A Private Driveway And Detached Garage, Top Rated Schools, Great Investment, Easy To Rent""",https://www.redfin.com/NY/College-Point/115-18-14th-Ave-11356/home/169142369
219,88-12 151 Ave Unit 4B,"220,000",2,1,"228,880","Howard Beach,NY",Condo/Co-op,,79.0,74.0,60.0,,https://www.redfin.com/NY/Howard-Beach/88-12-151st-Ave-11414/unit-4B/home/20631581
220,159-04 87th St,"740,000",2,1.5,"764,255","Howard Beach,NY",Single Family Residential,"4,000 ",80.0,64.0,75.0,"""1 family 2 bedroom, corner property, oversized driveway with 4 car parking.Granite counter tops,ceramic floor in kitchen and baths Hardwood floor,Alarm.New Heating unit and New separate how water heater. Do to current health emergency:  *NO OPEN HOUSES SCHEDULED AT THIS TIME""",https://www.redfin.com/NY/Jamaica/159-04-87th-St-11414/home/20680938
221,1929 E 7 St,,4,2.5,"1,203,043","Brooklyn,NY",Multi-Family (2-4 Unit),"2,410 ",89.0,93.0,74.0,"""EXCLUSIVE. Location, Location, Location! East 7th Street between Avenue R & Avenue S. Turn this Fixer Upper into your Dream Home! Large 2 Family Attached Brick. Building is 20 X 42. Private Drive. This Home is just Waiting for your TLC! This House features a Formal Entry, Large Formal Living Room, Formal Dining Room, Large Eat-In Kitchen, Half Bath & Deck off Dining Room with Stairs to Backyard. Upstairs has 2 Master Bedrooms & 1 Small Bedroom. Full Bath. 2 Hallway Closets. Walk-In Apt has Separate Entry, Living Room, Kitchen, Full Bath & 1 Bedroom. Exit to Backyard. Built-In Garage and Private Driveway. House Being Sold As-Is. Needs Total Renovation. No Fri/Sat Showings.""",https://www.redfin.com/NY/Brooklyn/1929-E-7th-St-11223/home/40841469
222,3623 Avenue P,,4,3,"826,195","Brooklyn,NY",Multi-Family (2-4 Unit),"2,000 ",88.0,81.0,57.0,"""This semi-detached beautiful brick house sits on a corner lot in one of the best neighborhoods in BrooklynÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¦Marine Park! It is a legal two family house used as a single family. As you enter the home youÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¾Ãƒâ€šÃ‚Â¢ll find a foyer with a coat closet. ThereÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¾Ãƒâ€šÃ‚Â¢s a great living room that fits two couches and a large custom entertainment center. As you make your way to the dining room, youÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¾Ãƒâ€šÃ‚Â¢ll find a spacious area to fit a nice size dining table and breakfront. The eat-in kitchen was update 5 years ago and is in fantastic condition with new stainless steel appliances, lots of cabinets and granite counter-tops make this kitchen come together beautifully. Off of the kitchen youÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¾Ãƒâ€šÃ‚Â¢ll find a half bath, pantries and a door that leads to the backyard, which is a great space to enjoy on nice days.  The second floor features 4 nice size bedrooms with closets, as well as a renovated bathroom that has a jetted bathtub and separate shower stall.  The basement features a one bedroom with a high ceiling, that includes a kitchenette, renovated bathroom, play area, laundry area and a private entrance. This home also has a private driveway which makes parking a breeze! Speaking of breeze, this house has split AC units that keep it cool on hot summer days.  The house offers close proximity to lots of restaurants, shopping, houses of worship, and public transportation. Come see this house and make it yours!""",https://www.redfin.com/NY/Brooklyn/3623-Avenue-P-11234/home/40873842
223,12 Tupelo Ct,"1,275,000",4,4,"1,283,575","Staten Island,NY",Single Family Residential,,61.0,65.0,56.0,"""Public Remarks: 20048H-NEW CONSTRUCTION IN RICHMONDTOWN MOST DESIRABLE NEIGHBORHOOD. BEAUTIFUL TWO STORY FOYER. 1ST FLOOR: FORMAL LIVING ROOM, FORMAL DINING ROOM, 1/2 BATH, LAUNDRY ROOM, LARGE KITCHEN WITH ISLAND. OPEN CONCEPT FAMILY ROOM WITH FIREPLACE, SLIDERS TO DECK. 2ND FLOOR: MASTER WITH TWO WALK-IN CLOSETS, MASTER BATH, WALK-UP ATTIC. BASEMENT IS FULL FINISHED WITH 3/4 BATHROOM, HIGH HATS THROUGHOUT, CUSTOM MOLDING, RADIANT HEAT. .. . STILL TIME TO PICK YOUR OWN FINISHES. MUCH MORE!!""",https://www.redfin.com/NY/Staten-Island/12-Tupelo-CT-10306/home/170447961
224,1632 Benson Ave,,7,4,"1,523,682","Brooklyn,NY",Multi-Family (2-4 Unit),"1,790 ",92.0,74.0,67.0,"""Prime location! First time on market legal three-family house located in the heart of Bath Beach. House has two floors plus a basement. First floor has a huge living room, open kitchen, dining room combo, master bedroom with master bathroom. First-floor unit is in excellent condition, sunny bright with windows throughout. Total of 3 bedrooms and two bathrooms, with access to the full finished basement with a recreation room, family room, and laundry room. Second floor has two 2 bedroom units.  2nd floor front unit has two bedroom, open kitchen, living room combo. 2nd-floor rear unit has 2 bedrooms, open kitchen, living room combo. Both second floor units are in good condition. House has finish and clean backyard thatÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¾Ãƒâ€šÃ‚Â¢s good for entertainment, close to shopping, transportation, and reputable schools.""",https://www.redfin.com/NY/Brooklyn/1632-Benson-Ave-11214/home/40831503
225,117-17 165th St,"360,000",5,3,"548,624","Jamaica,NY",Single Family Residential,"4,320 ",76.0,69.0,52.0,"""This is a big house with lots of potential. with a little bit of work, you can turn it into your dream house. This house has some violations and it is being sold as is.""",https://www.redfin.com/NY/Queens/117-17-165th-St-11434/home/20702752
226,87-10 161st Ave,"875,000",4,2.5,"888,757","Howard Beach,NY",Single Family Residential,"4,550 ",79.0,53.0,67.0,"""Charming 1 Family Brookfield Sitting on a 4500Sqft lot in The Heart Of Howard Beach 4 Bedrooms 2 And a Half Baths Eat-in Kitchen with Flow-Thru Concept Stainless Steel Appliances Ceramic Tile. Vaulted Ceilings in The Living Room Dining Room Areas Master Bedroom with Half Bath Truly a must see""",https://www.redfin.com/NY/Jamaica/87-10-161st-Ave-11414/home/20683474
227,175 Sommer Ave,"740,000",2,1,"722,618","Staten Island,NY",Single Family Residential,"10,800 ",61.0,58.0,58.0,"""Public Remarks: HOME IN TOTAL NEED OF FULL RENOVATIONS. SOLD AS IS""",https://www.redfin.com/NY/Staten-Island/175-Sommer-Ave-10314/home/56025572
228,129-15 135th St,"400,000",3,1.5,"518,018","S. Ozone Park,NY",Single Family Residential,"2,312 ",79.0,62.0,52.0,"""This property was renovated in 2010. Roof and windows were replaced. New exterior brick walls with stainless steel fence and gate.""",https://www.redfin.com/NY/Jamaica/129-15-135th-St-11420/home/20723603
229,18-19 150 St,"925,000",3,2,"955,377","Whitestone,NY",Multi-Family (2-4 Unit),"2,850 ",83.0,58.0,54.0,"""*Virtual Tour - https://www.youtube.com/watch?v=JDz5-CtlCWA ""Location Location Location! This Legal 2 Family is located in Prime Whitestone just short trip to Downtown Flushing. Lovingly maintained solid brick semi-detached 2 family house features 2 bedroom apartment over 1 bedroom. Private backyard. Pull Down Attic. Lot size 30 X 95 Building size 25.5 X 40 Close to transportation, shopping, house of worship and schools! Will not last.""",https://www.redfin.com/NY/Flushing/18-19-150th-St-11357/home/20865030
230,80 Mcdivitt Ave Unit A,"499,999",3,2,"507,016","Staten Island,NY",Condo/Co-op,,15.0,53.0,39.0,"""Public Remarks:  *  *  *  *  CHECK OUT THE VIRTUAL TOUR INCLUDED *  *  *  Look no more! This beautiful condo in Four Brothers community. This home is fully renovated down to the studs approx 4 years ago. First floor has open layout with porcelain wood look tile. Crown moldings throughout. Kitchen is completely redone with custom cabinets Cambria counter-tops and a porcelain farm-sink. overlooking your dining room. Laundry room is off living-room, next to the powder-room. Second floor has hardwood through out master bedroom has huge walk-in closet with custom California organizers. Main bathroom is a 4 piece bath with large tub and shower stall. There are 2 additional bedrooms with lots of closet space.""",https://www.redfin.com/NY/Staten-Island/80-Mc-Divitt-Ave-10314/unit-A/home/56110568
231,80 Mcdivitt Ave Unit A,"499,999",3,2,"507,016","Staten Island,NY",Condo/Co-op,,15.0,53.0,39.0,"""Public Remarks:  *  *  *  *  CHECK OUT THE VIRTUAL TOUR INCLUDED *  *  *  Look no more! This beautiful condo in Four Brothers community. This home is fully renovated down to the studs approx 4 years ago. First floor has open layout with porcelain wood look tile. Crown moldings throughout. Kitchen is completely redone with custom cabinets Cambria counter-tops and a porcelain farm-sink. overlooking your dining room. Laundry room is off living-room, next to the powder-room. Second floor has hardwood through out master bedroom has huge walk-in closet with custom California organizers. Main bathroom is a 4 piece bath with large tub and shower stall. There are 2 additional bedrooms with lots of closet space.""",https://www.redfin.com/NY/Staten-Island/80-Mc-Divitt-Ave-10314/unit-A/home/56110568
232,47 David Pl,"360,000",3,3,"394,521","Staten Island,NY",Single Family Residential,"1,352 ",73.0,62.0,47.0,"""Public Remarks: Home sweet home. Spacious well-kept 3 bedroom townhouse, with finished basement, private backyard, and private carport. The first floor features large eat in kitchen, open to the dining room, with sliders to the deck and backyard, separate living room, and half bath. The second floor offers 3 bedrooms, and full bathrooms. The finished basement is accessible through the house and the front, and has 3/4 bath. Quiet, dead-end street, without any HOA fees.""",https://www.redfin.com/NY/Staten-Island/47-David-Pl-10303/home/56057121
233,736 Dean St,"1,725,000",4,3.5,"1,900,445","Brooklyn,NY",,,,,,,https://www.redfin.com/NY/Brooklyn/736-Dean-St-11238/home/40705538
234,12807 Gotham Rd,"550,000",3,1.5,"614,791","S. Ozone Park,NY",Single Family Residential,"4,037 ",81.0,61.0,52.0,,https://www.redfin.com/NY/Jamaica/128-07-Gotham-Rd-11420/home/20719858
235,88-69 Eldert Ln,"575,000",5,3,"545,662","Woodhaven,NY",Condo/Co-op,,88.0,79.0,60.0,"""Huge 2 family in the heart of Woodhaven!  This home features 5 Bedrooms, 3 baths, full basement and yard. Just a short distance away from Jamaica Ave, Rockaway Blvd, and the J & Z trains!  This Is A Fannie Mae Homepath Property.""",https://www.redfin.com/NY/Jamaica/88-69-Eldert-Ln-11421/home/20789030
236,124 Ontario Ave,"565,000",3,2,"582,525","Staten Island,NY",Single Family Residential,"2,040 ",57.0,64.0,46.0,"""Public Remarks: Move right in to this completely updated semi-attached, meticulously maintained home close to all in Sunnyside! Extra-wide semi features kitchen/dining room combo, living room  &  new 1/2 bath on first floor with full bath and 3 bedrooms on second floor. Completely finished basement perfect for family room, playroom, or office. New windows, doors, bathrooms, and kitchen - completed in past 5 years. Home features alarm and sprinkler system with rain sensor, new hardwood floors, crown molding, and tons of storage! Property is completely fenced in with driveway and side yard. Convenient to public transportation  &  expressway/bridges to NJ/Manhattan!""",https://www.redfin.com/NY/Staten-Island/124-Ontario-Ave-10301/home/56119566
237,6422 Bay Pkwy Unit 5A,,2,1,"488,959","Brooklyn,NY",Condo/Co-op,,95.0,94.0,59.0,"""2 Bedroom, 1 Full Bath in Bensonhurst. Galley Kitchen, Living Room / Dining Area Combo, Balcony. Must See!!""",https://www.redfin.com/NY/Brooklyn/6422-Bay-Pkwy-11204/unit-5A/home/40678108
238,103-06 217th Ln,"325,000",2,1,"399,616","Jamaica,NY",Single Family Residential,"2,542 ",84.0,74.0,60.0,,https://www.redfin.com/NY/Jamaica/103-06-217th-Ln-11429/home/20734306
239,29-27 163rd St,"609,000",3,1,"726,957","Flushing,NY",Single Family Residential,"1,710 ",78.0,56.0,53.0,"""Location! Location! Location! Flushing; This 1 Family Brick, Townhouse Features A Full Finished Basement, Living Room, Dining Room, Kitchen, 3 Bedrooms And A Full Bath. This Property Has A Private Driveway With An Attached Garage. Conveniently Located Near Public Transportation (Bus: Q16), Schools, Shopping Areas, Restaurants, Bowne Park, Clearview Park, And Places of Worship Etc. Don't Miss This Opportunity!""",https://www.redfin.com/NY/Flushing/29-27-163rd-St-11358/home/20859240
240,158 Lander Ave,"575,000",4,1,"574,116","Staten Island,NY",Single Family Residential,"3,640 ",77.0,61.0,62.0,"""Public Remarks: Beautiful cape on corner lot with secluded side yard. First level features living room, dining room, kitchen, master bedroom, second bedroom and full bath. Hardwood floors throughout this level. Second floor has 2 large bedrooms. Full finished basement with bar - a fantastic living space! Upgrades include fence, patio, exterior doors, custom blinds and two ventless air conditioner units. Off street parking for two cars. A must see home at a great price.""",https://www.redfin.com/NY/Staten-Island/158-Lander-Ave-10314/home/56138738
241,19 Cortlandt St,"599,000",3,4,"610,350","Staten Island,NY",Single Family Residential,"4,888 ",88.0,67.0,55.0,"""Public Remarks: A well maintained and fully updated one family detached house features 3 bedrooms, 4 baths, front porch, hardwood floors thru out, full finished basement, front/back/side yard, two car driveway. LV1: Living room and dining room, 1/2 bath, large island kitchen w/ granite counter, stainless-steel appliances, new stove, custom wood cabinets, family room w/ coffered ceiling, and fireplace. Sliders to deck and beautiful back/side yard w/ fencing, gazebo great for entertaining. LV2: Large master bedroom w/ catherdral ceiling, full bath, 2 large closets. Two bedrooms, full bath. LV3: Attic for storage. Basement: Full/Fin. perfect for guest suite/ home office, 3/4 bath, laundry/ utility, door to side yd. Short distance to shopping, and transportation. Move in ready. A Must See!""",https://www.redfin.com/NY/Staten-Island/19-Cortlandt-St-10302/home/56121017
242,1484 E 8th St,"1,726,000",7,4,,"Brooklyn,NY",Multi-Family (2-4 Unit),"3,254 ",88.0,93.0,78.0,"""Public Remarks: Now featuring this all brick semi attached legal 3 family in the sought out Midwood section of Brooklyn. Home features, 1st floor consisting of 3 BD's, L/R D/R combo, Eat in Kitchen with access to extra large partially finished basement. Separate entrance to second floor consisting of 2 legal apartments, 4 rooms each with 2 bedrooms.""",https://www.redfin.com/NY/Brooklyn/1484-E-8th-St-11230/home/40837305
243,568 Empire Blvd,,8,4,"1,604,314","Brooklyn,NY",Multi-Family (2-4 Unit),"3,404 ",95.0,100.0,75.0,"""SOLID 4 FAMILY IN PRIME CROWN HEIGHTS. 4 x 2 BEDROOM APARTMENT + FINISHED BASEMENT. BRICK, SEMI-ATTACHED, EXTRA LARGE LOT. CLOSE TO SHOPPING AND TRANSPORTATION.""",https://www.redfin.com/NY/Brooklyn/568-Empire-Blvd-11225/home/40711942
244,328 Bay 11 St,,4,2.5,"1,062,754","Brooklyn,NY",Multi-Family (2-4 Unit),"1,885 ",65.0,64.0,76.0,"""Beautifully maintained 2 family brick house located in one of the most sought after Bath Beach / Dyker Heights! Private driveway with 2 parking spaces (one car garage and one carport) and private backyard. This home consists of 3 levels: 1st floor consists of 1 bedroom, living room, eat-in kitchen and full bath, and garage. 2nd floor and 3rd floor are combined as a duplex: 3 well lit large-sized bedrooms with plenty of storage, ceiling fans, and updated caseman windows, customized and recessed lighting, full bathroom over spacious living room, Dining room and eat-in kitchen, ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â½ bath and front and rear egress. Conveniently located to Dyker Beach Park, Shore Pkwy biking-walking trail, buses, and zoned for P.S. 229. Lot: 20x97. Building: 20x40. Est. Annual Taxes: $7,849. Zoning: R4. Approx. Year Built: 1955. Stories: 3.""",https://www.redfin.com/NY/Brooklyn/328-Bay-11th-St-11228/home/40833463
245,75 Seguine Loop,"625,000",3,3,"645,517","Staten Island,NY",Multi-Family (2-4 Unit),"2,500 ",35.0,59.0,52.0,"""Public Remarks: This two family semi detached home in Princes Bay features 3 bedrooms in the main house, gleaming hardwood floors, large LR/DR Combination, beautiful eat in kitchen with access to yard. Near shopping and transportation. Second unit shown on reshow!!  Not to be missed!!""",https://www.redfin.com/NY/Staten-Island/75-Seguine-Loop-10309/home/56129446
246,141-60 84 Rd Unit 2H,"230,000",1,1,"235,022","Briarwood,NY",Condo/Co-op,,84.0,96.0,60.0,"""Well Priced 1 Bedroom Co-op convenient to subway, schools and shopping.""",https://www.redfin.com/NY/Jamaica/141-60-84th-Rd-11435/unit-2H/home/39911012
247,8645 14 Ave,,4,3,"1,277,345","Brooklyn,NY",Multi-Family (2-4 Unit),"2,320 ",81.0,69.0,58.0,"""BEAUTIFULLY RENOVATED SOLID BRICK SEMI-DETACHED LARGE(20x54 HOUSE SIZE) 2 FAMILY HOME + FULL FINISHED BASEMENT WITH SEPARATE FRONT ENTRANCE, AND SHARED DRIVEWAY WITH GARAGE... IDEALLY SITUATED IN A MOST DESIRABLE DYKER HEIGHTS/DYKER PARK LOCATION; CONVENIENT TO ALL TRANSPORTATION, SHOPPING & SOME OF NYC'S BEST SCHOOLS... THIS LOVELY HOME IS EXCEPTIONALLY EXCELLENT CONDITION, AND IS COMPLETELY RENOVATED FROM TOP TO BOTTOM- FEATURING: GORGEOUS GRANITE KITCHENS WITH STAINLESS STEEL APPLIANCES & CUSTOM CABINETS, BREATH-TAKING MARBLE BATHROOMS, SPLIT A/C UNITS, HARDWOOD & TILE FLOORS THROUGHOUT, AND MUCH MUCH MORE... TRULY A MUST SEE TO APPRECIATE PROPERTY, IN ONE OF BROOKLYN'S MOST SOUGHT-AFTER NEIGHBORHOODS...  A PRIZED PIECE OF REAL ESTATE, WHICH IS PRICED RIGHT FOR TODAY'S MARKET... NOW IS THE TIME TO BUY!!!""",https://www.redfin.com/NY/Brooklyn/8645-14th-Ave-11228/home/40830232
248,205 Norway Ave,"560,000",3,3,"585,232","Staten Island,NY",Single Family Residential,"4,000 ",70.0,68.0,51.0,"""Public Remarks: Brand new 1 family semi-attached located in convenient South Beach. Super convenient to the Verrazano Bridge and public transportation this home features a full finished basement, 3/4 bath, utility room and laundry room. The first floor consists of a living room, dining room, 1/2 bath, eat in kitchen with sliding glass doors that lead out to the deck. The second level has 3 bedrooms and a full bath.""",https://www.redfin.com/NY/Staten-Island/205-Norway-Ave-10305/home/56112036
